timestamp,app_name,pid,protocol,local_addr,local_port,local_mac,remote_addr,remote_port,remote_mac,domain,service,direction,state,service_type
2024-11-16T13:44:44.713385,NetworkManager,1197,udp,10.105.8.94,68,0C:37:96:4E:65:74,10.105.8.2,67,08:F3:FB:A8:35:86,_gateway,PORT-67,INBOUND,stateless,OTHER
2024-11-16T13:44:44.722029,brave,5285,udp,10.105.8.94,41276,0C:37:96:4E:65:74,142.250.70.42,443,N/A,pnbomb-aa-in-f10.1e100.net,HTTPS,OUTBOUND,stateless,WEB
2024-11-16T13:44:45.866002,TabNine-dee,1099105,tcp,127.0.0.1,49152,N/A,127.0.0.1,55622,N/A,127.0.0.1,PORT-55622,INBOUND,ESTABLISHED,OTHER
2024-11-16T13:44:45.866503,firefox,6724,tcp,10.105.8.94,57534,0C:37:96:4E:65:74,35.174.127.31,443,N/A,ec2-35-174-127-31.compute-1.amazonaws.com,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:45.868442,TabNine,1098948,tcp,127.0.0.1,48760,N/A,127.0.0.1,44817,N/A,127.0.0.1,PORT-44817,INBOUND,ESTABLISHED,OTHER
2024-11-16T13:44:45.868768,warp-terminal,70181,tcp,10.105.8.94,39882,0C:37:96:4E:65:74,34.117.41.85,443,N/A,85.41.117.34.bc.googleusercontent.com,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:45.870074,TabNine,1098948,tcp,10.105.8.94,39308,0C:37:96:4E:65:74,34.123.33.186,443,N/A,186.33.123.34.bc.googleusercontent.com,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:45.871313,brave,5285,tcp,10.105.8.94,40042,0C:37:96:4E:65:74,142.250.192.234,443,N/A,del11s13-in-f10.1e100.net,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:45.872549,TabNine-dee,1099105,tcp,127.0.0.1,49152,N/A,127.0.0.1,36360,N/A,127.0.0.1,PORT-36360,INBOUND,ESTABLISHED,OTHER
2024-11-16T13:44:45.872877,TabNine,1098871,tcp,10.105.8.94,45770,0C:37:96:4E:65:74,34.170.65.59,443,N/A,59.65.170.34.bc.googleusercontent.com,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:45.874188,brave,5285,tcp,10.105.8.94,41806,0C:37:96:4E:65:74,54.192.142.120,443,N/A,server-54-192-142-120.del54.r.cloudfront.net,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:45.875435,warp-terminal,70181,tcp,10.145.254.104,49608,N/A,34.96.117.51,443,N/A,51.117.96.34.bc.googleusercontent.com,HTTPS,OUTBOUND,ESTABLISHED,WEB
2024-11-16T13:44:46.892775,brave,5285,tcp,10.105.8.94,51310,0C:37:96:4E:65:74,142.250.77.195,443,N/A,del11s08-in-f3.1e100.net,HTTPS,OUTBOUND,ESTABLISHED,WEB
